"","mean_O2ml_L","mean_O2Sat","mean_T_degC","mean_Salnty","mean_ChlorA","mean_PO4uM","Depth_zone","Water_density_class"
"1",5.73333333333333,99.2333333333333,14.81,33.099,0.943333333333333,0.433333333333333,"Very shallow","Light"
"2",5.5525,96.475,14.9525,33.25225,0.1975,0.495,"Shallow","Light"
"3",5.73666666666667,100.533333333333,15.38,33.2133333333333,0.343333333333333,0.376666666666667,"Very shallow","Light"
"4",5.684,99.26,15.206,33.2412,0.406,0.4,"Shallow","Light"
"5",4.69,78.22,12.87,33.3432,0.15,0.932,"Intermediate","Light"
"6",2.05764705882353,32.0882352941176,8.63941176470588,34.0087058823529,0.0142857142857143,2.24470588235294,"Deep","Intermediate"
"7",5.74,99.775,14.965,33.2665,0.5175,0.3825,"Very shallow","Light"
"8",5.708,99.08,14.912,33.2766,0.524,0.4,"Shallow","Light"
"9",4.775,78.7666666666667,12.375,33.3035,0.135,0.981666666666667,"Intermediate","Light"
"10",2.01235294117647,31.1176470588235,8.44352941176471,34.0258235294118,0.00571428571428571,2.31882352941176,"Deep","Intermediate"
"11",5.7125,100.5,15.57,33.25375,0.2475,0.37,"Very shallow","Light"
"12",5.725,100.625,15.5325,33.25775,0.2475,0.3625,"Shallow","Light"
"13",5.325,89.6166666666667,13.325,33.232,0.178333333333333,0.68,"Intermediate","Light"
"14",2.37352941176471,36.3411764705882,8.10941176470588,33.9206470588235,0.0171428571428571,2.21352941176471,"Deep","Intermediate"
"15",5.77,100.6,15.144,33.2208,0.23,0.38,"Very shallow","Light"
"16",5.714,98.88,14.742,33.2406,0.29,0.428,"Shallow","Light"
"17",4.85,78.1833333333333,11.3166666666667,33.2281666666667,0.163333333333333,1.06833333333333,"Intermediate","Light"
"18",2.15411764705882,32.9117647058824,8.04352941176471,33.9897647058824,0.0171428571428571,2.30176470588235,"Deep","Intermediate"
"19",4.85333333333333,80.6166666666667,12.5033333333333,33.3691666666667,0.272,0.931666666666667,"Shallow","Light"
"20",3.65166666666667,57.1333333333333,9.88333333333333,33.5736666666667,0.0433333333333333,1.6,"Intermediate","Intermediate"
"21",1.92117647058824,29.0352941176471,7.72235294117647,34.0662941176471,0,2.39235294117647,"Deep","Intermediate"
"22",5.824,100.62,14.662,33.292,0.686,0.428,"Very shallow","Light"
"23",5.125,85.8833333333333,12.955,33.3198333333333,0.423333333333333,0.83,"Shallow","Light"
"24",3.92166666666667,61.0666666666667,9.67333333333333,33.5223333333333,0.0266666666666667,1.56666666666667,"Intermediate","Intermediate"
"25",1.77352941176471,26.9058823529412,7.76294117647059,34.0884117647059,0,2.46647058823529,"Deep","Intermediate"
"26",5.83,101.42,14.994,33.2702,0.484,0.364,"Very shallow","Light"
"27",5.1825,87.475,13.3025,33.3445,0.4725,0.75,"Shallow","Light"
"28",3.665,57.1833333333333,9.76833333333333,33.5828333333333,0.04,1.62333333333333,"Intermediate","Intermediate"
"29",1.64764705882353,24.8882352941176,7.61764705882353,34.1131176470588,0.00428571428571429,2.51,"Deep","Intermediate"
"30",5.856,101.14,14.654,33.2084,0.35,0.384,"Very shallow","Light"
"31",5.726,98.08,14.232,33.2478,0.42,0.468,"Shallow","Light"
"32",4.87333333333333,77.5833333333333,10.7416666666667,33.218,0.136666666666667,1.14,"Intermediate","Intermediate"
"33",2.09588235294118,31.6823529411765,7.65764705882353,34.0102941176471,0.00714285714285714,2.35647058823529,"Deep","Intermediate"
"34",5.7,100.66,15.774,33.2266,0.116,0.34,"Very shallow","Light"
"35",5.724,100.6,15.554,33.2078,0.16,0.342,"Shallow","Light"
"36",5.40166666666667,89.8166666666667,12.7416666666667,33.1688333333333,0.195,0.708333333333333,"Intermediate","Light"
"37",2.35647058823529,35.8529411764706,7.87588235294118,33.9343529411765,0.01,2.22588235294118,"Deep","Intermediate"
"38",5.766,101.1,15.412,33.1892,0.144,0.36,"Very shallow","Light"
"39",5.77666666666667,100.633333333333,15.1016666666667,33.1993333333333,0.25,0.358333333333333,"Shallow","Light"
"40",5.10428571428571,82.8714285714286,11.6257142857143,33.184,0.167142857142857,0.925714285714286,"Intermediate","Light"
"41",2.345,35.6375,7.853125,33.9529375,0.01,2.235625,"Deep","Intermediate"
"42",5.7325,101.1,15.71,33.192,0.1025,0.36,"Very shallow","Light"
"43",5.79,101.075,15.2075,33.2005,0.2025,0.3675,"Shallow","Light"
"44",5.395,89.5,12.6766666666667,33.1733333333333,0.211666666666667,0.725,"Intermediate","Light"
"45",2.43882352941176,37.0882352941176,7.83941176470588,33.9041176470588,0.0142857142857143,2.21,"Deep","Intermediate"
"46",5.7175,100.7,15.6575,33.171,0.13,0.34,"Very shallow","Light"
"47",5.725,100.733333333333,15.6016666666667,33.1788333333333,0.156666666666667,0.34,"Shallow","Light"
"48",5.62333333333333,95.9,14.0283333333333,33.1753333333333,0.218333333333333,0.511666666666667,"Intermediate","Light"
"49",2.72529411764706,41.6823529411765,8.10058823529412,33.8557058823529,0.0242857142857143,2.08529411764706,"Deep","Intermediate"
"50",5.69,100.84,15.946,33.1922,0.112,0.344,"Very shallow","Light"
"51",5.714,100.76,15.706,33.1874,0.15,0.342,"Shallow","Light"
"52",5.59666666666667,95.3,13.9466666666667,33.1996666666667,0.193333333333333,0.513333333333333,"Intermediate","Light"
"53",2.59588235294118,39.7411764705882,8.00176470588235,33.9032352941176,0.0171428571428571,2.13647058823529,"Deep","Intermediate"
"54",5.6175,100.625,16.4725,33.21675,0.1125,0.3575,"Very shallow","Light"
"55",5.62,100.38,16.336,33.229,0.166,0.352,"Shallow","Light"
"56",5.66166666666667,98.7166666666667,15.15,33.1996666666667,0.19,0.398333333333333,"Intermediate","Light"
"57",2.85058823529412,44.0588235294118,8.41352941176471,33.8087647058824,0.0342857142857143,2.00647058823529,"Deep","Intermediate"
"58",5.564,100.64,16.944,33.3554,0.116,0.326,"Very shallow","Light"
"59",5.56,100.48,16.896,33.3486,0.136,0.32,"Shallow","Light"
"60",5.60833333333333,99.5666666666667,16.0216666666667,33.3298333333333,0.168333333333333,0.345,"Intermediate","Light"
"61",3.15823529411765,49.3823529411765,8.75941176470588,33.7965882352941,0.0471428571428571,1.84235294117647,"Deep","Light"
"62",5.672,100.82,16.096,33.213,0.122,0.34,"Very shallow","Light"
"63",5.698,100.72,15.832,33.192,0.17,0.34,"Shallow","Light"
"64",5.67857142857143,98.3571428571429,14.8171428571429,33.1765714285714,0.181428571428571,0.418571428571429,"Intermediate","Light"
"65",2.83235294117647,43.7058823529412,8.40411764705882,33.8224705882353,0.0414285714285714,2.03823529411765,"Deep","Intermediate"
"66",5.662,100.56,16.056,33.214,0.14,0.34,"Very shallow","Light"
"67",5.71833333333333,100.75,15.665,33.212,0.178333333333333,0.336666666666667,"Shallow","Light"
"68",5.59,94.7166666666667,13.71,33.18,0.203333333333333,0.536666666666667,"Intermediate","Light"
"69",2.71352941176471,41.6647058823529,8.26176470588235,33.8300588235294,0.0357142857142857,2.08470588235294,"Deep","Intermediate"
"70",5.65,100.46,16.142,33.1034,0.132,0.33,"Very shallow","Light"
"71",5.664,100.32,15.92,33.2476,0.17,0.334,"Shallow","Light"
"72",5.69833333333333,98.6833333333333,14.8,33.1953333333333,0.17,0.411666666666667,"Intermediate","Light"
"73",2.36133333333333,35.9866666666667,7.89266666666667,33.946,0.022,2.31928571428571,"Deep","Intermediate"
"74",5.6975,100.55,15.7525,33.166,0.1425,0.33,"Very shallow","Light"
"75",5.72333333333333,100.633333333333,15.5666666666667,33.161,0.18,0.331666666666667,"Shallow","Light"
